,ell,TT,TE,EE,BB,KK
101,101,1.6672553999999999e-12,-1.4543794e-14,4.8310097e-16,1.9982547e-18,1.5844023e-19
102,102,1.6537396e-12,-1.4657866e-14,4.8247346e-16,1.9989566e-18,1.5745988e-19
103,103,1.6405438000000002e-12,-1.4764624e-14,4.8168394e-16,1.9996783000000003e-18,1.5648553e-19
104,104,1.6276577999999999e-12,-1.4864216e-14,4.8072494e-16,2.0004202e-18,1.5551727e-19
105,105,1.6150669e-12,-1.495666e-14,4.796022999999999e-16,2.0011832e-18,1.545553e-19
106,106,1.6027575e-12,-1.5041942000000002e-14,4.7831755e-16,2.001968e-18,1.5359971000000001e-19
107,107,1.5907167e-12,-1.5120176e-14,4.768762e-16,2.0027749e-18,1.5265056e-19
108,108,1.5789284e-12,-1.5191394e-14,4.7527562e-16,2.003605e-18,1.5170791999999999e-19
109,109,1.5673888e-12,-1.52555965e-14,4.7352142e-16,2.004459e-18,1.507718e-19
110,110,1.5560828e-12,-1.53129045e-14,4.7161125e-16,2.0053378e-18,1.4984215e-19
111,111,1.5450001e-12,-1.53634e-14,4.6955052e-16,2.0062419e-18,1.4891900999999998e-19
112,112,1.5341341e-12,-1.5407054e-14,4.673445e-16,2.007172e-18,1.4800233e-19
113,113,1.5234753e-12,-1.5444028e-14,4.6499097e-16,2.0081293e-18,1.4709212e-19
114,114,1.5130144000000001e-12,-1.5474336999999998e-14,4.624915e-16,2.0091143e-18,1.4618840000000002e-19
115,115,1.5027428e-12,-1.5498068e-14,4.5985478e-16,2.010128e-18,1.4529107999999999e-19
116,116,1.4926553e-12,-1.5515305e-14,4.570821e-16,2.011171e-18,1.4440009999999998e-19
117,117,1.4827437000000001e-12,-1.5526098e-14,4.5417136e-16,2.0122445e-18,1.4351544999999998e-19
118,118,1.4729968e-12,-1.5530499e-14,4.511308199999999e-16,2.0133490000000003e-18,1.4263708e-19
119,119,1.4634106e-12,-1.5528625e-14,4.4796165e-16,2.0144854999999997e-18,1.4176493e-19
120,120,1.4539781e-12,-1.552053e-14,4.446683e-16,2.0156547e-18,1.4089901999999998e-19
