L,TT,TE,EE,BB,PP
85,1.9382122490119947e-12,-1.1674175491397147e-14,4.688236106632058e-16,1.9804153131135703e-18,9.570124969722057e-23
86,1.9171021216324694e-12,-1.1909247852682078e-14,4.709911648567504e-16,1.9808241346114572e-18,9.293773295182635e-23
87,1.8968063230624015e-12,-1.2136001965575867e-14,4.729754732879455e-16,1.9812550911016887e-18,9.027565096522395e-23
88,1.8769251165505986e-12,-1.235481852479032e-14,4.747992627464953e-16,1.981690332238109e-18,8.771188702628522e-23
89,1.8577284558227646e-12,-1.256715503200052e-14,4.764599818592664e-16,1.982144937916616e-18,8.524188066740305e-23
90,1.8390860378783856e-12,-1.2770976905131431e-14,4.779378936553546e-16,1.9826249842731718e-18,8.286132828545211e-23
91,1.8209154342153147e-12,-1.2967212620160008e-14,4.79238476656389e-16,1.983113476330419e-18,8.056541561639052e-23
92,1.803309432446977e-12,-1.315562118594413e-14,4.803603852638636e-16,1.983624219768725e-18,7.83518201454206e-23
93,1.7862444653993525e-12,-1.3336567522981185e-14,4.813091004336752e-16,1.984162646369158e-18,7.621614462868196e-23
94,1.7695433988798927e-12,-1.350948165419607e-14,4.820694771463542e-16,1.98471259247324e-18,7.415425149991835e-23
95,1.7533531735817875e-12,-1.3675228810840041e-14,4.826512845092397e-16,1.9852867627991126e-18,7.216431230107817e-23
96,1.7374437824614788e-12,-1.383360110463129e-14,4.830556317460115e-16,1.985883304594589e-18,7.024253007230632e-23
97,1.7221056872535072e-12,-1.3984548859160825e-14,4.832831019799193e-16,1.9865070954775735e-18,6.838664891879116e-23
98,1.7071781031130731e-12,-1.412693458412939e-14,4.833389840289188e-16,1.9871496388940267e-18,6.659256808713207e-23
99,1.6925441487621954e-12,-1.4263147979888933e-14,4.83210587376785e-16,1.9878157782886834e-18,6.485897366483945e-23
100,1.6783321101809426e-12,-1.439060948512882e-14,4.829082039782783e-16,1.9885099511868576e-18,6.318333819046481e-23
101,1.6644464048299797e-12,-1.4511706263338013e-14,4.824787371013706e-16,1.9892240215962583e-18,6.156265207934384e-23
102,1.6510914400008677e-12,-1.4625360751000888e-14,4.818400538308795e-16,1.9899683951319514e-18,5.999467135684632e-23
103,1.6378924402460048e-12,-1.4732403726976124e-14,4.8104904313393e-16,1.990735058014291e-18,5.847790831669286e-23
104,1.6250319538145623e-12,-1.483142439460122e-14,4.80114760359765e-16,1.991528081402576e-18,5.701001007041268e-23
105,1.6124414822405962e-12,-1.492372238486416e-14,4.7900283761885e-16,1.9923455598973414e-18,5.558914125368967e-23
106,1.6001625455511646e-12,-1.5009179107617777e-14,4.777652784038263e-16,1.993191242419856e-18,5.42133858335269e-23
107,1.588026695640909e-12,-1.5087311136749114e-14,4.763291698319802e-16,1.994057700473247e-18,5.288108398380551e-23
108,1.5762618226788173e-12,-1.5159011850310992e-14,4.7474556873743e-16,1.994959371614436e-18,5.1590544965388106e-23
109,1.5647437170953197e-12,-1.522370208843565e-14,4.729839361596457e-16,1.9958781804750354e-18,5.034020991571891e-23
110,1.5534236539062491e-12,-1.528100513122768e-14,4.710551881977922e-16,1.9968281954119298e-18,4.9128539818805844e-23
111,1.542337014966769e-12,-1.533204360647212e-14,4.690065275830465e-16,1.9978073012304628e-18,4.795411732187327e-23
112,1.5314767727234188e-12,-1.537682510424094e-14,4.668080013201869e-16,1.998813502895703e-18,4.681553910897575e-23
113,1.5208703177867534e-12,-1.5414777218566443e-14,4.644679635225345e-16,1.999844918276074e-18,4.571146564513469e-23
114,1.5104374894504118e-12,-1.54459482101736e-14,4.619598171283009e-16,2.0009045640353375e-18,4.4640617771000194e-23
